Dih1a,Dih1b,Dih2a,Dih2b,Dih3a,Dih3b,Dih4a,Dih4b
-62.0622,-61.2176,149.121,-61.4479,-61.8765,-60.9847,-65.9229,-55.4786,
-62.0232,-60.999,148.7136,-61.3926,-60.3042,-60.523,-87.9142,67.9607,
-62.033,-61.0483,148.9664,-61.4239,-61.8792,-61.0008,-67.2293,-165.6196,
-61.9876,-60.9545,148.3688,-61.2959,-61.9873,-60.9543,148.3796,-61.2574,
-62.0146,-61.0294,148.7975,-61.3616,-61.9942,-61.0289,77.49,64.616,
-62.0497,-61.0144,148.9872,-61.4324,-62.0683,-61.0546,80.042,-171.1163,
-62.2208,-61.2231,148.559,-61.2581,-88.2008,64.7039,-65.748,-55.2368,
-62.1114,-61.0211,148.2929,-61.196,-87.637,64.7233,-87.7225,67.6803,
-62.0608,-61.0248,148.5971,-61.2777,-87.9906,64.6962,-67.0629,-165.4725,
-61.9864,-60.9527,147.9777,-61.0854,-88.0914,64.7449,148.5256,-61.2951,
-62.116,-61.0815,148.3694,-61.2353,-88.0406,64.8788,77.4274,64.6838,
-62.1003,-61.0508,148.6251,-61.2636,-88.2469,64.7834,79.9427,-171.0795,
-62.0789,-61.1971,149.1708,-61.4493,-64.8275,-171.5678,-65.8097,-55.1725,
-62.0802,-61.0044,148.8077,-61.3357,-64.4918,-171.6337,-87.4066,67.8827,
-62.0476,-61.079,149.0459,-61.4338,-64.7338,-171.5742,-67.2048,-165.5463,
-61.9372,-61.0582,148.3002,-61.281,-64.73,-171.6246,148.4304,-61.3339,
-61.9894,-60.953,148.6576,-61.341,-64.743,-171.6035,77.52,64.6085,
-62.1183,-61.0068,149.0129,-61.4151,-64.8029,-171.6027,79.9029,-171.1925,
-62.1474,-61.1563,148.9652,-61.4331,120.5273,-60.7616,-65.877,-55.0097,
-62.1441,-61.1085,148.8644,-61.3894,122.0242,-60.8204,-87.9004,67.921,
-61.9968,-61.0123,148.9406,-61.4243,120.4864,-60.7664,-67.2667,-165.3823,
-61.9301,-60.9851,148.3382,-61.3258,120.817,-60.8405,148.4922,-61.3541,
-62.0656,-61.0506,148.6717,-61.3794,120.2378,-60.9121,77.4249,64.7417,
-62.0717,-61.0291,148.9753,-61.4369,120.0238,-60.8586,80.1193,-171.2009,
-62.1146,-61.1492,149.3956,-61.6126,74.5548,65.0962,-65.8012,-54.9492,
-62.0995,-61.083,149.3887,-61.6053,73.5539,65.1802,-88.054,67.3537,
-61.9354,-60.9996,149.3348,-61.5948,74.4932,65.1482,-67.1591,-165.2606,
-61.9106,-60.9923,148.9991,-61.5413,75.0115,65.3347,148.4109,-61.2887,
-62.0462,-61.037,149.4239,-61.6075,73.7102,64.9748,77.6755,64.5783,
-62.0152,-61.0102,149.3878,-61.6081,73.4663,64.9885,80.4389,-171.4159,
-62.2383,-61.2521,149.0455,-61.3729,109.066,-171.5038,-65.8687,-55.2689,
-62.0877,-61.0249,148.7507,-61.2877,112.1093,-171.4176,-88.2354,67.848,
-62.0857,-61.0703,148.8645,-61.3432,109.1549,-171.4844,-67.2458,-165.6161,
-61.9695,-60.9794,148.1995,-61.1606,110.1467,-171.6005,148.6621,-61.3673,
-62.0137,-61.0098,148.5887,-61.2748,109.818,-171.5496,77.5878,64.6635,
-62.035,-61.0549,148.8975,-61.3661,110.3387,-171.5672,79.9516,-171.2186,
-62.2857,-61.2324,77.8232,64.5578,-62.0612,-61.1097,-65.3857,-55.5281,
-62.3011,-61.0895,77.2967,64.5311,-60.3712,-60.6008,-87.3008,68.002,
-61.9275,-61.0355,77.647,64.561,-62.0699,-61.0258,-66.764,-165.7657,
-62.0039,-61.0368,77.4969,64.6113,-62.0154,-61.0348,148.7631,-61.3497,
-62.1511,-61.0889,78.045,64.6168,-62.1514,-61.0889,78.0413,64.6162,
-62.2644,-61.1349,78.2558,64.6521,-62.1897,-61.0996,80.4373,-171.2227,
-62.1562,-61.1914,77.7224,64.5348,-88.3538,64.71,-65.2567,-55.3048,
-62.2189,-61.0603,77.2592,64.5188,-87.7433,64.7949,-87.1117,67.7722,
-62.0921,-61.0469,77.6113,64.5449,-88.4529,64.7268,-66.5038,-165.5061,
-62.037,-61.0341,77.3839,64.4684,-88.4564,64.7883,149.0148,-61.401,
-62.1878,-61.0477,77.8082,64.538,-88.5242,64.7424,78.0705,64.6628,
-62.3154,-61.1124,78.155,64.6183,-88.4757,64.7782,80.5403,-171.1752,
-62.2191,-61.2019,77.7619,64.5757,-64.8531,-171.5326,-65.3144,-55.3882,
-62.2062,-61.0992,77.6249,64.5826,-64.6133,-171.5236,-86.6427,67.978,
-61.9977,-61.0403,77.7898,64.5409,-64.8936,-171.5576,-66.6517,-165.673,
-62.1437,-61.0723,77.5853,64.5894,-64.7246,-171.5255,148.7943,-61.3916,
